3,537800,,0000
532,282092,,0000
331,142314,,0000
316,142314,,0000
324,141046,,0000
401,71962,,0000
531,71157,,0000
350,71157,,0000
533,70523,,0000
399,70523,,0000
534,70523,,0000
327,70523,,0000
329,69642,,0000
529,56102,,0000
398,56102,,0000
945,53919,9952,2822
894,53745,5392,8240
806,43893,49882,7414
950,42657,7781,9066
400,40556,,0000
328,37682,,0000
804,29105,75401,2344
802,27213,20839,7320
994,24437,2596,9190
826,20079,72219,4527
811,18705,5588,1535
818,18345,,0000
517,18345,,0000
803,15473,,0000
996,15063,8091,2340
995,14435,,0000
810,13753,27800,2988
516,13081,,0000
824,12771,147935,7495
816,11609,41144,4810
820,10050,138486,5748
813,9748,34386,2834
807,9129,23536,5510
828,9104,24837,0936
519,8916,,0000
951,8869,37461,5750
819,8028,97784,2068
827,7092,13042,2336
812,6964,,0000
518,6964,,0000
825,6651,205818,2350
319,6600,309158,8500
325,6250,1312,5000
326,6250,1312,5000
523,6050,63969,6750
513,6050,195558,8250
524,6050,82264,8750
935,5627,176997,5002
936,5576,269084,1916
512,5500,199329,9000
507,5500,125288,6250
508,5500,156560,2500
817,5395,49319,3202
938,5160,162165,1710
939,5099,245879,0684
930,5084,216291,7750
929,5043,184921,0200
928,5027,162694,4550
510,4950,115136,1750
351,4950,29279,2500
352,4950,6237,0000
511,4950,141037,0500
679,4950,29279,2500
330,4880,,0000
738,4815,264759,1897
809,4785,38926,8732
770,4532,1251684,4478
909,4529,137670,1044
910,4518,184730,3248
931,4499,154113,9600
908,4493,94682,1984
762,4492,1237544,7671
932,4488,175714,7700
760,4448,1221456,5598
911,4401,92835,8688
317,4400,123215,4000
912,4400,133933,8000
318,4400,151905,6000
725,4228,240423,1477
729,4216,241534,7475
712,4178,24355,9927
715,4029,127334,3609
761,3782,1046425,8585
763,3772,1046463,8895
765,3734,1033853,2764
743,3690,712479,6564
748,3576,747684,9884
722,3464,164933,4780
933,3409,147836,0000
913,3380,138216,6380
934,3375,127191,4500
863,3365,83093,6275
941,3352,210981,8452
530,3300,53083,8000
730,3283,169008,5346
782,3241,2559917,0690
726,3224,162338,9361
747,3188,403152,0325
711,3135,66674,1600
921,3031,16763,6900
783,2988,2373331,1044
515,2947,,0000
708,2923,62203,5210
948,2904,239931,6150
937,2904,182450,7454
907,2809,232444,6650
527,2750,18566,6250
526,2750,10019,6250
332,2750,29741,2500
525,2750,6381,3750
707,2724,58423,8005
832,2656,247242,9392
779,2632,2135265,7197
805,2621,2404,2600
780,2587,2084530,8528
949,2573,9220,2446
835,2565,405560,4514
781,2554,2058033,2529
836,2454,239974,9393
739,2398,240959,1776
940,2363,148345,9138
821,2352,,0000
829,2352,,0000
916,2298,93884,3528
784,2264,1856492,8040
815,2254,27734,9521
914,2244,47290,9272
915,2231,67864,7716
764,2224,619139,2706
355,2200,3003,0000
766,2200,615172,8669
535,2200,7669,2000
509,2200,79810,5000
862,2197,54251,6195
822,2183,242936,1110
768,2160,601936,9804
742,2145,399027,8177
854,2116,103141,2460
714,2113,67193,9747
808,2096,16473,8188
793,2075,1765554,2385
852,2061,100460,3535
718,2042,348526,0822
801,1986,753628,7684
831,1985,159753,0056
797,1979,754826,0920
716,1901,60482,8222
922,1877,11681,8800
794,1868,1606973,8425
789,1790,1673010,6120
798,1734,660776,9635
814,1712,132654,3536
823,1704,22206,5046
838,1695,324630,3668
790,1618,1534032,8640
856,1608,94057,5480
795,1593,1400961,0420
859,1566,24605,7682
947,1561,3997,9462
736,1553,44224,1391
786,1552,603412,0128
787,1494,580861,8216
833,1481,70868,0378
788,1480,575418,6720
719,1466,82240,9768
758,1420,745324,4880
799,1385,535522,1885
785,1368,531873,4752
775,1364,1703559,9524
777,1356,1704234,9504
753,1328,2006264,4236
717,1316,351523,5649
727,1312,24795,4801
723,1304,23904,1305
767,1288,364891,2341
769,1286,363348,7438
771,1284,1626827,2152
791,1278,1215126,8220
849,1274,49677,7190
776,1268,1583140,3092
759,1236,353545,7093
778,1232,1550740,4052
923,1206,7331,8900
773,1202,1517891,5356
749,1200,1882456,2816
792,1192,1074955,3230
772,1186,1491643,6128
754,1164,610956,1296
746,1130,,0000
844,1130,13553,2200
796,1121,995211,3600
839,1107,87537,5268
709,1107,6835,7250
477,1100,12832,0500
478,1100,12196,8000
476,1100,17475,1500
479,1100,17475,1500
720,1097,,0000
843,1086,16290,0000
514,1020,,0000
522,1016,,0000
774,1010,1270508,2632
870,995,3809,3660
800,991,392096,2671
751,986,1607788,2764
946,967,989,0914
322,960,25669,9800
737,940,,0000
752,916,1482548,8264
830,912,17549,6032
520,909,,0000
858,896,14330,3495
733,890,39615,6780
745,878,130830,2240
855,874,51123,3190
750,874,1407405,1564
741,851,174683,2900
864,846,35252,0250
834,843,,0000
884,798,28703,7835
840,795,,0000
744,712,16977,9680
755,700,367413,4800
756,692,363214,4688
721,664,,0000
732,656,110043,5500
877,651,3381,9300
724,644,,0000
857,633,37026,3855
867,632,29413,2975
876,618,46128,0000
728,618,,0000
740,601,,0000
357,600,2488,5000
356,600,2094,7500
998,599,124370,4968
706,596,,0000
869,592,27740,5365
883,583,21234,2670
734,582,,0000
841,567,22109,3145
976,566,355438,8704
680,560,,0000
880,555,19851,3900
484,550,3782,6250
482,550,4816,3500
485,550,4290,8250
481,550,6098,4000
480,550,6416,0250
483,550,5330,3250
486,550,4816,3500
488,550,4874,1000
489,550,5757,6750
487,550,3193,5750
973,541,343123,7028
865,540,22710,7750
904,532,56849,0126
875,524,3143,8030
861,493,12173,8955
873,488,952,6400
892,486,88404,3146
492,480,24242,4000
493,480,27699,8400
860,479,7776,8144
893,476,59431,4720
999,465,96723,0088
850,445,17352,1075
881,443,16207,7980
952,431,6683,9156
521,427,,0000
494,420,21903,2100
495,420,26613,0900
496,420,20675,9700
957,412,360948,1980
969,398,347597,4060
853,394,19204,9390
972,375,167843,6760
917,371,27941,7710
925,369,26802,4670
885,364,58688,5786
506,360,3311,2800
735,350,,0000
731,346,,0000
966,323,284085,7812
905,321,37180,8708
890,320,25258,3756
954,319,282655,3392
899,319,21465,5796
886,317,19985,1948
874,315,1922,5115
757,312,163761,4368
965,310,83677,6920
920,308,20907,4790
944,307,20712,0820
977,304,65079,5948
974,303,192824,2264
358,300,2094,7500
895,300,20231,9256
961,291,79075,1220
924,279,18854,1492
979,274,75630,6180
889,274,86175,6344
926,261,15342,1018
906,234,23709,5408
953,234,105740,5440
887,229,26001,2690
958,224,61318,1100
981,222,65068,0744
918,215,14263,9810
962,210,56745,2340
878,203,4461,9400
896,200,10856,1552
967,196,172892,7564
900,193,10856,1552
871,193,1928,0700
984,190,39594,4992
891,190,22286,8020
992,190,37540,1048
988,188,38871,3120
970,182,83338,7100
955,181,162212,1228
872,179,1609,2100
997,178,39743,2640
985,170,35210,1768
975,170,110768,4688
868,167,8209,8270
991,159,32161,8044
987,156,32520,8244
990,151,30455,4360
888,148,21543,9086
959,142,38988,2220
986,138,28701,4920
963,133,36434,5380
968,125,121206,1188
919,122,4298,7340
983,117,35919,7932
964,108,30317,5740
902,106,6415,0008
980,106,31302,8532
978,92,25833,7800
982,90,26655,1336
710,90,555,7500
993,86,17171,6820
956,85,78483,5844
989,84,17625,2736
897,79,986,9232
903,76,3700,9620
927,73,2772,6690
942,67,1885,9862
901,66,,0000
971,64,32072,0400
943,57,1478,7568
320,48,2279,6865
321,48,2042,4915
882,42,2267,5800
898,39,2467,3080
960,38,10363,2060
713,35,1749,6500
491,30,598,8150
490,30,376,1100
879,25,3975,0000
342,21,896,7105
343,21,986,4540
341,21,940,8105
1,19,954,9925
345,18,722,4840
344,18,760,2840
497,18,615,3840
504,18,877,7160
422,18,856,8315
866,18,1009,6500
423,18,819,0315
323,18,904,7430
4,18,1026,4590
425,15,682,7625
346,15,675,6750
528,15,572,3550
407,15,662,0985
375,15,649,2780
505,15,663,2325
406,15,661,8780
376,15,649,4985
424,15,746,8650
404,15,693,5985
403,15,693,3780
402,15,712,0575
2,15,628,7400
462,15,715,2075
347,15,611,5725
405,15,687,2985
433,12,521,7030
437,12,445,2210
435,12,445,2210
436,12,496,5030
434,12,470,4210
432,12,470,4210
360,12,546,0210
430,12,546,9030
429,12,495,6210
348,12,456,5610
428,12,520,8210
349,12,507,8430
359,12,563,5395
427,12,572,1030
431,12,495,6210
426,12,520,8210
379,12,500,7870
378,12,494,2665
380,12,506,7090
381,12,494,1090
377,12,506,8665
361,9,448,2135
362,9,409,7520
408,9,383,3550
409,9,377,0550
364,9,429,3135
363,9,390,8520
454,6,266,7105
453,6,241,9830
452,6,267,6240
451,6,241,9830
457,6,254,1105
458,6,260,6310
459,6,260,6310
460,6,241,5105
456,6,273,2310
455,6,273,2310
449,6,280,2240
448,6,254,5830
438,6,266,7105
440,6,273,2310
441,6,254,1105
442,6,260,6310
443,6,260,6310
444,6,241,5105
445,6,248,0310
446,6,248,0310
447,6,267,1830
450,6,254,5830
439,6,273,2310
393,6,228,1230
394,6,259,6860
383,6,266,3640
412,6,240,9435
421,6,279,3735
410,6,234,4230
384,6,240,7230
385,6,253,1655
386,6,278,8065
413,6,259,9380
387,6,253,3230
397,6,266,3640
389,6,259,8435
396,6,240,7230
390,6,240,7230
391,6,247,2435
392,6,247,2435
395,6,259,6860
388,6,259,8435
382,6,240,7230
411,6,240,9435
373,6,248,2515
365,6,260,4105
366,6,247,8105
367,6,273,4515
368,6,247,8105
369,6,235,2105
420,6,241,2585
419,6,234,7380
374,6,222,6105
417,6,253,8585
370,6,260,8515
418,6,253,8585
372,6,222,6105
416,6,247,3380
415,6,266,4585
414,6,266,4585
371,6,235,2105
473,3,117,3690
466,3,136,2690
475,3,117,3690
469,3,129,9690
465,3,149,0895
464,3,136,2690
461,3,124,3620
470,3,123,6690
471,3,136,4895
474,3,130,1895
468,3,142,7895
472,3,123,6690
463,3,142,5690
467,3,129,9690
